,Age,Gender,Years at Company,Monthly Income,Number of Promotions,Overtime,Distance from Home,Number of Dependents,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Attrition,Job Role_Finance,Job Role_Healthcare,Job Role_Media,Job Role_Technology,Work-Life Balance_Fair,Work-Life Balance_Good,Work-Life Balance_Poor,Job Satisfaction_Low,Job Satisfaction_Medium,Job Satisfaction_Very High,Performance Rating_Below Average,Performance Rating_High,Performance Rating_Low,Education Level_Bachelor’s Degree,Education Level_High School,Education Level_Master’s Degree,Education Level_PhD,Marital Status_Married,Marital Status_Single,Job Level_Mid,Job Level_Senior,Company Size_Medium,Company Size_Small,Company Reputation_Fair,Company Reputation_Good,Company Reputation_Poor,Employee Recognition_Low,Employee Recognition_Medium,Employee Recognition_Very High
18,49,0,37,6252,2,0,60,4,70,0,0,0,1,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False
19,29,1,9,7538,0,0,10,0,76,0,0,0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
20,51,0,41,8733,2,1,18,3,72,0,0,0,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False
21,57,0,33,8201,0,0,95,1,95,0,0,0,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False,False,True,False
22,39,0,1,8079,1,0,23,0,20,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False
23,36,1,13,5874,0,0,16,1,40,0,0,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False
24,54,1,5,4656,0,1,63,0,60,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,True,False,False
25,48,1,9,4987,1,0,92,0,23,0,0,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
26,23,1,13,12507,0,0,86,1,83,0,0,1,1,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True,False,True,False,False
27,45,0,21,7571,1,1,30,1,67,1,0,0,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False
28,48,1,32,3535,0,1,48,0,84,0,0,0,1,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False
29,45,0,34,8330,0,1,58,4,91,1,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False
30,24,1,11,6334,0,1,55,2,28,0,0,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False
31,42,1,1,8874,1,0,31,2,27,0,0,0,1,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
32,53,1,44,7364,1,0,92,0,55,0,1,0,0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False
33,39,1,22,5556,0,0,16,0,28,0,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
34,37,1,2,9293,0,0,55,0,54,0,0,1,1,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False
35,37,1,6,7701,0,1,32,1,71,0,1,1,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
36,31,1,18,5105,2,0,82,2,46,0,0,1,0,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True
37,37,1,9,8632,2,0,8,2,86,1,0,0,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False
38,45,0,27,5315,2,1,74,4,70,0,0,1,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False
39,57,0,23,5938,2,1,3,3,47,0,0,0,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
40,42,0,2,6213,0,0,5,4,69,0,0,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False
41,31,0,17,5956,0,0,76,4,27,0,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
42,56,0,22,6605,2,1,47,2,74,0,0,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False
43,34,1,12,8274,0,1,67,1,36,0,0,0,0,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False
44,56,1,7,9878,2,0,58,1,22,0,0,0,0,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False
45,47,0,36,8442,1,0,84,0,67,1,0,0,0,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False
46,25,0,2,6690,0,1,14,2,25,1,0,0,1,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
47,25,0,3,8397,0,1,36,3,49,1,0,0,1,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False
48,36,1,8,9775,1,1,79,1,61,0,0,1,0,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False
49,41,1,28,5586,0,0,52,0,103,0,0,0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
50,55,0,6,9355,0,1,44,3,64,0,0,1,0,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False
51,48,0,18,7976,0,1,32,2,71,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,True,False
52,21,1,11,6356,0,0,89,0,12,0,0,0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False
53,34,1,21,5967,1,0,39,0,39,1,0,0,1,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False
54,28,0,12,10111,2,0,37,3,33,0,0,0,1,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False
55,26,1,3,8673,0,0,64,1,57,0,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
56,47,1,22,5040,3,1,7,0,58,1,0,0,1,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False
57,30,0,22,9894,1,0,87,2,65,1,0,0,0,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
58,24,1,13,6785,0,0,24,3,57,0,0,1,0,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False
59,23,0,2,7368,0,0,15,3,17,0,0,1,1,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False
60,52,1,34,5154,0,1,16,2,83,0,0,0,0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,False
61,51,1,16,8407,1,0,63,1,66,0,0,0,0,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False
62,50,1,21,4195,2,1,76,2,100,1,0,0,1,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True
63,45,1,6,4451,0,0,81,2,65,0,0,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
64,31,0,11,10122,2,0,58,0,62,1,0,0,1,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False
65,50,1,35,7303,1,1,48,1,84,1,0,1,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
66,29,1,8,7946,0,0,75,1,17,0,1,0,0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False
67,27,1,14,6026,0,1,30,2,20,0,0,0,0,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
68,48,1,1,10135,0,1,13,3,72,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False
69,47,1,24,8631,0,0,35,3,89,0,0,0,1,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False
70,41,0,11,4431,0,0,8,2,80,0,0,0,0,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False
71,53,0,2,3598,0,1,98,1,69,0,0,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
72,37,0,2,7949,0,0,95,5,6,1,0,0,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
73,21,0,10,7967,0,0,44,1,64,0,0,0,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False
74,53,0,23,8876,2,1,68,3,78,0,0,1,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False
75,45,0,28,6628,0,1,56,3,30,0,0,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False
76,49,1,9,8340,1,0,73,0,77,0,0,0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
77,37,1,22,10080,0,0,21,1,69,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False
78,39,1,9,8860,0,1,26,1,61,0,0,0,0,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
79,27,1,17,5678,2,0,41,2,54,0,0,0,1,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False
80,58,1,14,8683,2,0,34,0,87,1,1,1,1,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
81,49,0,2,4042,0,0,29,2,58,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
82,54,1,24,9737,0,0,8,0,88,1,0,0,1,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
83,38,1,18,5246,0,1,84,2,20,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False
84,19,0,1,10141,1,0,19,1,41,0,0,1,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
85,43,1,34,9033,1,0,50,1,97,0,0,0,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
86,30,1,10,5397,1,1,68,0,75,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
87,31,1,19,6135,0,0,41,0,88,0,0,0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
88,47,1,28,7063,0,0,62,0,49,0,0,1,1,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False
89,58,0,40,6940,0,0,49,1,67,1,0,0,1,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False
90,40,1,17,4733,1,0,69,4,60,0,0,0,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False
91,35,1,17,7625,0,0,26,0,31,0,0,0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
92,31,0,2,6640,0,0,13,4,33,0,0,1,1,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
93,31,1,8,7287,2,1,33,0,69,0,0,1,1,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
94,40,1,5,6993,0,1,57,0,75,0,0,0,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
95,49,0,22,12041,0,0,62,6,23,0,0,1,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False
96,33,0,1,6534,1,0,21,4,12,0,0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
97,52,1,15,7529,0,0,61,5,34,0,0,0,1,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
98,51,1,12,4421,1,0,62,0,14,1,0,0,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False
99,27,0,11,9197,0,1,53,2,35,0,0,0,1,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
100,58,1,6,8762,0,1,72,0,38,0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
101,42,0,7,8744,1,1,41,3,71,1,0,1,0,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
102,26,1,3,7406,3,0,91,0,57,1,0,0,0,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
103,37,0,7,6099,0,0,19,0,16,1,0,0,1,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False
104,55,1,13,9626,2,0,27,0,81,0,0,1,1,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False
105,46,0,6,10298,0,0,47,0,84,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False
106,41,1,2,8972,1,0,76,1,72,0,0,1,0,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
107,58,0,14,9501,1,1,56,4,52,0,0,0,0,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
108,40,0,22,4023,0,0,58,4,55,0,1,0,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
109,53,1,41,8332,0,0,24,4,47,0,0,0,0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False
110,46,0,9,4237,0,1,36,1,20,0,0,0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False
111,45,1,9,6437,1,0,53,4,31,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False
112,56,1,32,6690,1,0,35,1,80,0,0,0,1,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False
113,23,1,11,7038,0,0,74,0,55,0,0,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
114,55,1,40,9177,0,0,65,0,106,0,0,0,0,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False
115,48,0,19,8761,0,0,75,3,90,1,0,0,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
116,47,1,24,5428,0,1,93,1,49,0,0,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
117,26,0,8,7859,4,0,44,5,35,0,0,0,1,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False
118,21,1,4,10298,2,0,28,0,53,0,0,0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,True,False,False
119,44,1,13,7430,1,1,23,3,73,0,0,0,1,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False
120,24,1,2,4573,2,1,37,0,62,0,0,0,1,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False
121,31,1,13,9434,0,0,76,0,83,1,0,0,1,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False
122,45,0,24,4583,2,1,55,1,62,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False
123,19,1,3,7979,1,1,46,2,27,0,0,1,0,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
124,59,0,30,10166,1,0,32,1,37,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
125,50,1,35,5316,2,0,21,0,80,1,0,0,1,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False
126,59,1,45,10030,2,0,64,3,52,0,0,0,0,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False
127,54,1,2,8736,0,1,86,1,5,0,0,0,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False
128,58,0,39,6929,0,0,56,3,76,0,1,1,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
129,21,1,2,10167,0,1,54,2,65,0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
130,51,1,16,9063,0,0,9,1,90,0,0,1,0,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False
131,45,0,20,8926,4,0,89,1,80,1,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False
132,30,0,15,3204,0,0,45,1,94,0,1,0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
133,29,0,11,9306,0,0,51,2,45,0,0,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
134,59,1,43,4862,0,0,28,1,119,0,0,0,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False
135,35,0,26,7576,4,0,81,5,53,0,0,1,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False
136,40,0,29,11735,3,0,87,3,56,0,0,0,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
137,20,1,2,6453,0,0,51,0,62,0,0,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
138,50,1,18,7359,1,0,67,2,63,0,0,0,0,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
139,44,1,35,7838,1,0,19,4,53,0,0,0,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
140,20,0,3,10943,0,0,62,0,15,0,0,0,0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
141,28,1,20,10513,0,0,73,1,94,0,1,0,1,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False
142,28,1,6,6669,0,0,39,3,41,0,0,0,0,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,False
143,36,1,17,8309,2,1,24,0,89,0,0,0,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False
144,40,1,4,6426,0,0,13,1,10,0,0,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
145,56,0,46,8423,0,0,96,3,118,0,0,0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
146,47,1,1,8723,2,0,73,1,32,0,0,0,1,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,True,False,False
147,21,1,13,9152,0,0,60,0,20,1,0,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
148,18,0,7,8546,0,1,94,1,64,1,0,0,0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False
149,22,0,13,5797,0,0,78,4,49,1,0,0,1,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False
150,52,1,19,3625,1,0,54,2,32,0,0,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False
