user_id,first_pay_ts,first_pay_item,pre_pay_events,pre_pay_active_days,pre_pay_span_days,pre_pay_recency_days,obs_total_events,obs_active_days,obs_events_per_active_day,obs_w1_events,obs_w2_events,obs_decay_ratio,obs_activity_change_rate,obs_last_active_day,obs_recency_days,obs_unique_items,obs_unique_sources,obs_unique_platforms,obs_enter_count,obs_respond_count,obs_submit_count,obs_response_with_answer_count,obs_response_with_answer_rate,obs_play_video_count,obs_pause_video_count,obs_play_audio_count,obs_pause_audio_count,obs_quit_count,obs_pay_count,obs_refund_count,total_lifetime_events,is_refund_churn,is_non_renewal_churn,is_churn
u10071,1566872566224,p138,0,0,0,0,1662,5,332.4,1578,84,0.053232,-0.946768,7.540023,6.459977,640,5,2,491,280,243,280,1,11,11,187,188,248,1,0,1662,0,1,1
u10079,1556419478104,p96,0,0,0,0,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,192,0,1,1
u10085,1563999283904,p149,42,1,0.006805,12.290605,3,2,1.5,3,0,0,-1,0.376261,13.623739,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,57,0,1,1
u10086,1558559625901,p113,30,1,0.003934,15.582362,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,1,1
u10090,1572140910816,p175,0,0,0,0,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123,0,1,1
u10094,1565666484321,p141,0,0,0,0,865,6,144.166667,419,446,1.064439,0.064439,9.245839,4.754161,423,3,2,253,261,129,261,1,0,0,46,46,124,1,0,1553,0,1,1
u10097,1567184160425,p168,0,0,0,0,2029,7,289.857143,1462,567,0.387825,-0.612175,8.039267,5.960733,759,4,1,522,431,235,431,1,99,98,168,168,287,1,0,2029,0,1,1
u10101,1561865682760,p119,24,1,0.001703,2.5931,1334,7,190.571429,314,1020,3.248408,2.248408,11.900412,2.099588,345,5,2,300,112,128,112,1,49,48,203,215,172,1,0,10457,0,0,0
u10104,1566952762672,p136,3292,24,42.752807,0.651521,4556,12,379.666667,2624,1932,0.73628,-0.26372,13.301519,0.698481,577,6,2,502,391,190,391,1,62,56,1501,1513,312,1,0,12358,0,1,1
u10105,1564330016618,p149,57,2,3.334465,2.305471,220,6,36.666667,73,147,2.013699,1.013699,9.524057,4.475943,73,1,1,94,31,25,31,1,0,0,0,0,69,1,0,580,0,1,1
u10106,1567347566065,p142,0,0,0,0,1080,4,270,833,247,0.296519,-0.703481,7.065128,6.934872,403,7,2,274,190,143,190,1,4,4,166,167,131,1,0,1080,0,1,1
u1011,1562223217704,p118,0,0,0,0,1572,11,142.909091,356,1216,3.41573,2.41573,13.98073,0.01927,618,7,1,451,216,209,216,1,15,15,211,210,242,1,0,1919,0,1,1
u10110,1563577525817,p141,0,0,0,0,111,2,55.5,111,0,0,-1,0.393475,13.606525,61,3,1,38,26,22,26,1,1,1,3,3,16,1,0,136,0,1,1
u1012,1562209900583,p124,0,0,0,0,5584,15,372.266667,4233,1351,0.319159,-0.680841,13.953551,0.046449,2222,5,1,1522,1523,665,1523,1,213,206,237,237,857,1,0,12438,0,1,1
u10120,1564409629531,p126,97,2,4.442149,0.190167,264,7,37.714286,96,168,1.75,0.75,13.79956,0.20044,115,4,1,76,49,37,49,1,0,0,31,31,39,1,0,719,0,1,1
u10128,1567108623775,p162,0,0,0,0,159,6,26.5,133,26,0.195489,-0.804511,8.603665,5.396335,39,4,1,33,14,11,14,1,37,36,2,1,22,1,0,159,0,1,1
u1013,1562512142835,p118,0,0,0,0,1751,9,194.555556,169,1582,9.360947,8.360947,11.409956,2.590044,406,7,1,308,155,157,155,1,2,2,473,502,151,1,0,1751,0,1,1
u10132,1566708258367,p141,24,1,0.002655,0.028682,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,1,1
u10134,1559526374942,p116,45,1,0.003099,10.092907,807,5,161.4,423,384,0.907801,-0.092199,12.145563,1.854437,266,3,1,201,116,99,116,1,1,1,143,143,102,1,0,3775,0,1,1
u10136,1563860301696,p128,0,0,0,0,32,3,10.666667,32,0,0,-1,4.324039,9.675961,19,2,1,11,7,7,7,1,0,0,1,1,4,1,0,34,0,1,1
u10137,1567568096379,p168,33,1,0.003744,2.175157,88,4,22,88,0,0,-1,6.332064,7.667936,13,1,1,9,50,7,50,1,0,0,4,4,2,1,0,172,0,1,1
u10139,1548553990012,p85,0,0,0,0,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,466,0,0,0
u1014,1555532672553,p105,0,0,0,0,6294,11,572.181818,2815,3479,1.235879,0.235879,12.478252,1.521748,1847,4,1,1746,1423,834,1423,1,112,94,394,390,912,1,0,59316,0,0,0
u10147,1549431820407,p86,0,0,0,0,4257,13,327.461538,1249,3008,2.408327,1.408327,13.339546,0.660454,1252,5,1,1109,629,496,629,1,150,150,550,555,613,1,0,37980,0,0,0
u10149,1559694493917,p112,0,0,0,0,861,7,123,485,376,0.775258,-0.224742,13.324658,0.675342,399,3,1,334,158,138,158,1,16,16,0,0,196,1,0,5646,0,0,0
u1015,1559758968590,p113,119,1,0.041454,0.042869,1010,6,168.333333,958,52,0.05428,-0.94572,10.951768,3.048232,403,3,2,273,179,130,179,1,10,10,132,132,143,1,0,1620,0,1,1
u10155,1566681033655,p164,27,2,2.797765,1.953048,728,8,91,280,448,1.6,0.6,13.600607,0.399393,243,5,1,191,105,93,105,1,14,14,106,106,98,1,0,789,0,1,1
u10156,1565646261516,p132,29,1,0.036988,3.737689,238,6,39.666667,193,45,0.233161,-0.766839,7.720235,6.279765,92,4,2,64,38,26,38,1,14,14,21,21,38,1,0,361,0,1,1
u10158,1552259689711,p77,21,1,0.002219,4.301665,462,3,154,462,0,0,-1,1.467835,12.532165,114,4,1,83,35,39,35,1,20,20,84,92,44,1,0,2263,0,0,0
u10162,1564278857947,p148,972,8,34.30064,137.041627,1018,11,92.545455,391,627,1.603581,0.603581,13.449951,0.550049,347,5,2,224,279,98,279,1,6,6,103,109,126,1,0,3947,0,1,1
u10165,1564651491147,p126,39,2,16.281377,1.10695,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,0,1,1
u1017,1562484254164,p124,0,0,0,0,1689,5,337.8,1327,362,0.272796,-0.727204,8.072569,5.927431,484,5,1,271,251,123,251,1,306,303,72,70,148,1,0,3412,0,0,0
u10170,1561963267949,p118,32,1,0.001983,0.611298,766,9,85.111111,671,95,0.14158,-0.85842,13.679986,0.320014,395,4,1,266,141,131,141,1,1,1,45,45,135,1,0,2605,0,0,0
u10171,1561570750023,p120,0,0,0,0,116,3,38.666667,116,0,0,-1,2.527817,11.472183,59,1,1,46,23,19,23,1,0,0,0,0,27,1,0,268,0,1,1
u10174,1551923959353,p90,0,0,0,0,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,260,0,0,0
u10177,1547137251096,p79,0,0,0,0,7977,11,725.181818,3428,4549,1.327013,0.327013,13.64479,0.35521,2414,4,1,1265,2038,581,2038,1,55,46,1300,1298,684,1,0,19367,0,1,1
u10178,1553077423511,p91,0,0,0,0,417,7,59.571429,294,123,0.418367,-0.581633,12.742519,1.257481,207,4,1,163,82,79,82,1,3,3,1,1,84,1,0,805,0,0,0
u10181,1567087387790,p137,145,3,117.309723,0.01402,569,10,56.9,224,345,1.540179,0.540179,9.74761,4.25239,171,5,1,129,50,53,50,1,7,7,120,125,76,1,0,15347,0,1,1
u10182,1566447674917,p137,0,0,0,0,871,7,124.428571,377,494,1.310345,0.310345,11.817929,2.182071,333,4,2,233,154,112,154,1,125,125,0,0,121,1,0,2468,0,1,1
u10183,1566257042261,p156,9460,36,106.020234,5.651164,7445,8,930.625,743,6702,9.020188,8.020188,13.695926,0.304074,365,3,1,216,349,84,349,1,0,0,3331,3330,131,1,0,56028,0,0,0
u1019,1549733954232,p87,1681,10,10.802122,5.716088,791,5,158.2,781,10,0.012804,-0.987196,9.857647,4.142353,334,3,2,215,150,104,150,1,16,16,89,89,111,1,0,8225,0,1,1
u10199,1567956733382,p162,0,0,0,0,174,2,87,1,173,173,172,11.508287,2.491713,77,1,1,39,47,19,47,1,0,0,24,24,20,1,0,174,0,1,1
u1020,1562718962388,p118,45,2,0.993783,0.50399,148,4,37,148,0,0,-1,3.629699,10.370301,68,2,2,44,40,12,40,1,0,0,8,9,32,1,0,5090,0,0,0
u10200,1541984956152,p64,0,0,0,0,615,4,153.75,1,614,614,613,13.197322,0.802678,262,4,1,179,112,85,112,1,8,8,64,64,94,1,0,1552,0,0,0
u10209,1567603842677,p164,4562,24,264.734214,0.536537,2113,13,162.538462,1103,1010,0.915684,-0.084316,13.594551,0.405449,951,5,2,648,418,300,418,1,1,1,159,161,348,1,0,10735,0,1,1
u1021,1573802221398,p185,831,10,130.914175,1.841759,131,2,65.5,131,0,0,-1,0.913921,13.086079,30,2,1,19,7,8,7,1,1,1,30,30,11,1,0,962,0,1,1
u10210,1560141641833,p113,400,3,1.691504,0.120987,2481,10,248.1,1339,1142,0.852875,-0.147125,10.212252,3.787748,648,4,1,506,328,238,328,1,40,40,530,530,268,1,0,31476,0,1,1
u10219,1557494913664,p112,12575,81,105.43466,0.5821,2059,13,158.384615,1385,674,0.486643,-0.513357,11.939255,2.060745,424,2,1,348,154,165,154,1,40,40,547,581,183,1,0,23870,0,0,0
u1022,1562537183793,p118,32,1,0.002704,3.638873,293,7,41.857143,189,104,0.550265,-0.449735,9.515806,4.484194,137,5,2,98,52,41,52,1,11,11,7,7,57,1,0,388,0,1,1
u10224,1566958608706,p137,39,2,40.703672,21.127272,111,6,18.5,91,20,0.21978,-0.78022,11.260357,2.739643,56,1,1,42,22,22,22,1,0,0,2,2,20,1,0,170,0,1,1
u10225,1567404566841,p142,21,1,0.002789,0.270975,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,1,1
u10231,1552830774086,p75,36,1,0.009745,14.177911,239,5,47.8,202,37,0.183168,-0.816832,8.935277,5.064723,103,2,1,67,39,33,39,1,1,1,30,32,34,1,0,6135,0,0,0
u10232,1559022529211,p115,0,0,0,0,2273,8,284.125,2138,135,0.063143,-0.936857,8.823831,5.176169,789,5,1,630,318,311,318,1,13,13,216,221,319,1,0,4615,0,1,1
u10235,1567349813970,p138,0,0,0,0,988,6,164.666667,953,35,0.036726,-0.963274,8.774684,5.225316,329,1,1,205,195,90,195,1,0,0,162,161,115,1,0,2404,0,1,1
u10237,1567346253083,p164,93,1,0.016736,9.606587,459,8,57.375,361,98,0.271468,-0.728532,12.889173,1.110827,227,5,1,161,94,74,94,1,1,1,18,18,87,1,0,580,0,1,1
u10242,1566828748760,p157,725,2,5.087516,0.008841,9722,13,747.846154,3729,5993,1.607133,0.607133,13.625915,0.374085,1331,5,1,922,542,465,542,1,66,66,3559,3604,457,1,0,12509,0,1,1
u10245,1565709971844,p132,0,0,0,0,1707,9,189.666667,1079,628,0.58202,-0.41798,13.665066,0.334934,779,1,1,363,554,159,554,1,0,0,212,211,204,1,0,11311,0,0,0
u10248,1555271397000,p107,0,0,0,0,648,8,81,498,150,0.301205,-0.698795,12.274817,1.725183,226,4,2,174,88,70,88,1,103,103,0,0,104,1,0,1176,0,1,1
u10252,1547658246420,p81,0,0,0,0,5009,14,357.785714,2684,2325,0.866244,-0.133756,13.832557,0.167443,1503,5,2,932,866,461,866,1,165,163,966,975,471,1,0,23438,0,1,1
u10255,1565194274837,p157,9,1,0.000394,0.4656,50,4,12.5,50,0,0,-1,4.98117,9.01883,28,2,1,16,13,11,13,1,0,0,2,2,5,1,0,107,0,1,1
u10256,1567348772916,p137,293,3,12.543876,211.451814,288,4,72,288,0,0,-1,3.503385,10.496615,102,4,1,71,56,34,56,1,6,6,37,37,37,1,0,581,0,1,1
u10258,1567138182890,p136,0,0,0,0,776,7,110.857143,745,31,0.041611,-0.958389,12.073354,1.926646,223,4,1,174,104,92,104,1,23,23,87,87,82,1,0,776,0,1,1
u10259,1566762743908,p141,0,0,0,0,26,2,13,26,0,0,-1,0.373565,13.626435,15,1,1,7,7,7,7,1,0,0,2,2,0,1,0,26,0,1,1
u1026,1561643745413,p121,290,3,248.674123,0.419523,2912,12,242.666667,2681,231,0.086162,-0.913838,13.708932,0.291068,835,5,1,674,522,335,522,1,23,23,492,503,339,1,0,4010,0,1,1
u10268,1561745863102,p118,28,2,0.655252,3.376527,169,3,56.333333,168,1,0.005952,-0.994048,9.951197,4.048803,74,2,1,49,30,22,30,1,8,8,6,6,27,1,1,12142,1,0,1
u10271,1566779158599,p142,0,0,0,0,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1276,0,1,1
u10274,1555204863931,p107,0,0,0,0,1039,14,74.214286,696,343,0.492816,-0.507184,13.034369,0.965631,433,1,1,237,229,110,229,1,0,0,133,132,127,1,0,6413,0,1,1
u10276,1566601436359,p157,226,2,1.09017,0.587966,190,4,47.5,190,0,0,-1,2.488312,11.511688,96,2,1,73,39,34,39,1,2,2,0,0,39,1,0,416,0,1,1
u1028,1556410132374,p95,524,2,1.014698,0.440562,1091,13,83.923077,496,595,1.199597,0.199597,13.950348,0.049652,236,2,1,213,58,65,58,1,249,249,53,55,148,1,0,15894,0,1,1
u10284,1565120031050,p131,0,0,0,0,407,4,101.75,191,216,1.13089,0.13089,13.740583,0.259417,190,3,1,128,103,62,103,1,14,14,10,10,65,1,0,780,0,1,1
u10285,1567038412266,p162,0,0,0,0,199,4,49.75,151,48,0.317881,-0.682119,8.369772,5.630228,28,2,1,26,7,7,7,1,65,66,4,4,19,1,0,264,0,1,1
u1029,1559260583662,p113,0,0,0,0,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,1,1
u10300,1563997164858,p129,25,1,0.002878,0.440553,102,2,51,102,0,0,-1,1.550536,12.449464,36,1,1,23,13,12,13,1,0,0,21,21,11,1,0,161,0,1,1
u10302,1567019368810,p142,21,1,0.002438,0.428712,10257,11,932.454545,5825,4432,0.760858,-0.239142,13.480282,0.519718,4400,4,1,3275,2168,1766,2168,1,6,6,762,764,1509,1,0,22552,0,0,0
u1031,1562562128619,p124,23,1,0.002467,0.595995,888,6,148,653,235,0.359877,-0.640123,8.910353,5.089647,305,7,2,240,139,113,139,1,23,23,111,111,127,1,0,911,0,1,1
u10312,1566932734624,p162,165,1,0.06526,280.260428,145,3,48.333333,145,0,0,-1,1.354662,12.645338,82,2,1,55,34,27,34,1,0,0,0,0,28,1,0,310,0,1,1
u10315,1565883779779,p141,0,0,0,0,35,2,17.5,35,0,0,-1,0.373549,13.626451,23,1,1,11,11,11,11,1,0,0,0,0,0,1,0,39,0,1,1
u10318,1562623296197,p141,0,0,0,0,3110,12,259.166667,1748,1362,0.779176,-0.220824,13.85868,0.14132,929,7,1,683,390,322,390,1,278,278,275,287,361,1,0,4066,0,1,1
u10319,1566351465377,p141,0,0,0,0,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3552,0,1,1
u1032,1563405203151,p147,30,1,0.009327,9.376508,397,3,132.333333,397,0,0,-1,1.378789,12.621211,165,3,2,95,80,47,80,1,12,12,51,51,48,1,0,427,0,1,1
u10322,1564960705837,p128,0,0,0,0,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,927,0,1,1
u10329,1567472588619,p136,614,3,45.65946,0.812002,2851,8,356.375,2328,523,0.224656,-0.775344,13.387546,0.612454,917,3,1,502,750,254,750,1,2,1,546,547,248,1,0,6015,0,1,1
u1033,1542853527679,p63,0,0,0,0,228,1,228,228,0,0,-1,0.38586,13.61414,91,2,1,64,33,39,33,1,0,0,32,32,25,1,0,1835,0,0,0
u10332,1567352121157,p163,0,0,0,0,500,4,125,498,2,0.004016,-0.995984,8.346642,5.653358,125,5,1,93,46,44,46,1,7,7,109,110,49,1,0,506,0,1,1
u10333,1553729199528,p96,0,0,0,0,1079,6,179.833333,927,152,0.16397,-0.83603,7.412566,6.587434,504,4,1,343,185,170,185,1,9,9,74,75,173,1,0,3828,0,1,1
u10337,1557797031976,p115,0,0,0,0,676,12,56.333333,504,172,0.34127,-0.65873,13.218753,0.781247,371,3,1,252,152,128,152,1,5,5,1,1,124,1,0,1756,0,1,1
u10339,1567349969129,p168,264,4,203.44574,7.613272,104,2,52,104,0,0,-1,0.388834,13.611166,31,1,1,20,12,10,12,1,0,0,25,25,10,2,0,368,0,0,0
u10341,1564158117711,p141,0,0,0,0,104,3,34.666667,104,0,0,-1,3.785367,10.214633,47,3,1,29,19,17,19,1,0,0,11,11,12,1,0,104,0,1,1
u10342,1561162250096,p122,0,0,0,0,5490,13,422.307692,4001,1489,0.372157,-0.627843,13.023562,0.976438,1438,6,1,1380,657,639,657,1,51,51,983,985,741,1,0,56911,0,0,0
u10344,1563065166537,p141,0,0,0,0,1078,5,215.6,1078,0,0,-1,4.10799,9.89201,322,6,1,313,103,117,103,1,1,1,157,184,196,1,0,3933,0,1,1
u10345,1561702194875,p118,385,2,112.987804,0.26399,2627,12,218.916667,507,2120,4.18146,3.18146,13.399548,0.600452,971,5,1,765,408,364,408,1,69,69,260,288,401,1,0,9040,0,0,0
u10346,1562686620316,p146,0,0,0,0,6611,13,508.538462,2853,3758,1.31721,0.31721,13.70171,0.29829,2260,7,1,1730,891,789,891,1,207,207,633,633,941,1,0,16116,0,1,1
u1035,1562559949175,p124,8270,75,138.951519,0.584925,1602,11,145.636364,1412,190,0.134561,-0.865439,11.39578,2.60422,745,4,2,502,411,194,411,1,28,26,17,17,308,1,0,12431,0,1,1
u10351,1567294975470,p137,0,0,0,0,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,458,0,1,1
u10354,1566607225848,p141,0,0,0,0,39,2,19.5,39,0,0,-1,2.391288,11.608712,13,1,1,8,4,4,4,1,0,0,9,9,4,1,0,73,0,1,1
u10359,1565125479140,p131,0,0,0,0,2182,11,198.363636,1284,898,0.699377,-0.300623,13.763934,0.236066,700,1,1,380,507,196,507,1,0,0,457,457,184,1,0,4685,0,1,1
u10363,1566965249828,p162,0,0,0,0,813,12,67.75,306,507,1.656863,0.656863,13.450028,0.549972,422,5,2,276,214,130,214,1,17,17,6,6,146,1,0,4758,0,1,1
u10366,1566955895756,p142,0,0,0,0,147,2,73.5,147,0,0,-1,5.168491,8.831509,65,2,1,39,35,25,35,1,0,0,15,18,14,1,0,462,0,1,1
u10368,1566881848952,p137,29,1,0.001383,2.691861,63,3,21,3,60,20,19,13.053842,0.946158,22,2,2,24,14,3,14,1,0,0,0,0,21,1,0,92,0,1,1
u1037,1561240373262,p141,0,0,0,0,1223,10,122.3,1053,170,0.161443,-0.838557,11.776051,2.223949,530,6,2,423,262,199,262,1,37,37,20,20,224,1,0,2444,0,1,1
u10371,1568230860379,p138,1507,11,59.875359,5.50686,381,4,95.25,259,122,0.471042,-0.528958,13.494259,0.505741,165,3,1,113,63,56,63,1,0,0,45,45,57,1,0,2105,0,1,1
u10374,1547912990575,p80,0,0,0,0,294,3,98,294,0,0,-1,2.651944,11.348056,115,1,1,76,46,38,46,1,0,0,26,26,38,1,0,676,0,1,1
u10376,1564950963709,p124,0,0,0,0,26,2,13,26,0,0,-1,1.395187,12.604813,16,1,1,10,5,5,5,1,0,0,0,0,5,1,0,26,0,1,1
u1038,1562271651837,p146,0,0,0,0,78,5,15.6,68,10,0.147059,-0.852941,7.754567,6.245433,27,5,1,19,15,10,15,1,8,8,2,2,9,1,0,78,0,1,1
u10384,1565218730368,p158,33,1,0.004673,6.336193,9,4,2.25,3,6,2,1,9.317193,4.682807,4,2,1,3,0,1,0,0,0,0,1,1,2,1,0,42,0,1,1
u10388,1567353281437,p137,0,0,0,0,338,3,112.666667,36,302,8.388889,7.388889,7.477087,6.522913,126,2,2,87,59,50,59,1,0,0,37,37,37,1,0,1622,0,1,1
u10389,1567342801202,p163,373,5,39.170819,10.806118,51,4,12.75,43,8,0.186047,-0.813953,11.440545,2.559455,17,3,1,23,0,0,0,0,2,2,0,0,23,1,0,424,0,1,1
u1039,1562567578890,p124,0,0,0,0,328,4,82,328,0,0,-1,5.399083,8.600917,187,4,1,120,77,63,77,1,0,0,2,2,57,1,0,512,0,1,1
u10391,1567351438455,p136,0,0,0,0,1325,6,220.833333,682,643,0.942815,-0.057185,9.453075,4.546925,604,2,1,415,225,206,225,1,0,0,112,111,209,1,0,2156,0,1,1
u10395,1565192019039,p132,1017,6,27.244795,0.338433,2756,10,275.6,966,1790,1.853002,0.853002,13.648606,0.351394,982,5,2,725,559,323,559,1,2,2,259,259,402,1,0,7166,0,1,1
u1040,1562332364712,p124,27,1,0.00166,1.528576,479,8,59.875,101,378,3.742574,2.742574,11.028142,2.971858,178,6,1,125,74,58,74,1,5,5,69,75,67,1,0,538,0,1,1
u10401,1565030065168,p141,28,1,0.001783,1.194768,5610,14,400.714286,4012,1598,0.398305,-0.601695,13.978153,0.021847,974,4,2,750,601,352,601,1,1,1,1565,1565,398,1,0,8930,0,1,1
u10404,1567787510167,p137,0,0,0,0,158,2,79,1,157,157,156,10.731104,3.268896,90,2,1,57,41,26,41,1,0,0,0,0,31,1,0,158,0,1,1
u10407,1565548434845,p156,369,2,0.993751,0.129295,1315,10,131.5,1072,243,0.226679,-0.773321,9.401315,4.598685,666,3,2,446,251,220,251,1,34,34,41,42,226,1,0,2109,0,1,1
u10411,1537974533402,p48,0,0,0,0,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,377,0,0,0
u10420,1566574264074,p136,0,0,0,0,71,3,23.666667,1,70,70,69,13.450627,0.549373,36,1,1,15,22,7,22,1,0,0,9,9,8,1,0,681,0,1,1
u10428,1563999968566,p129,0,0,0,0,578,7,82.571429,455,123,0.27033,-0.72967,11.480854,2.519146,158,2,1,126,69,57,69,1,46,46,57,57,69,1,0,17547,0,1,1
u10435,1566460994557,p141,0,0,0,0,482,4,120.5,470,12,0.025532,-0.974468,10.682416,3.317584,156,4,2,115,93,61,93,1,0,0,49,49,54,1,0,482,0,1,1
u10438,1567396224993,p157,0,0,0,0,209,4,52.25,1,208,208,207,9.175739,4.824261,105,2,1,71,40,33,40,1,14,12,0,0,38,1,0,209,0,1,1
u1044,1562458629072,p125,38,1,0.011804,0.792015,86,5,17.2,64,22,0.34375,-0.65625,10.044441,3.955559,22,5,1,18,4,5,4,1,10,10,12,12,13,1,0,503,0,1,1
u10444,1565477919359,p130,0,0,0,0,4415,9,490.555556,269,4146,15.412639,14.412639,13.322157,0.677843,827,3,2,552,616,230,616,1,1,1,1346,1346,322,1,0,6412,0,1,1
u10445,1547524565322,p74,0,0,0,0,190,2,95,190,0,0,-1,2.213854,11.786146,86,1,1,43,47,21,47,1,0,0,28,28,22,1,0,191,0,0,0
u10448,1563401056918,p126,0,0,0,0,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,0,1,1
u1045,1562421815965,p124,36,2,0.12502,1.501169,418,6,69.666667,418,0,0,-1,4.494815,9.505185,186,4,1,135,64,60,64,1,27,27,14,15,75,1,0,454,0,1,1
u10450,1564361096500,p124,157,1,0.01288,2.806259,812,5,162.4,725,87,0.12,-0.88,12.581777,1.418223,354,5,1,255,137,121,137,1,0,0,69,69,134,1,0,2710,0,0,0
u10459,1567099950612,p137,0,0,0,0,1308,6,218,1140,168,0.147368,-0.852632,10.648768,3.351232,527,4,2,328,327,161,327,1,1,1,46,46,167,1,0,1547,0,1,1
u1046,1561993402428,p121,0,0,0,0,389,4,97.25,108,281,2.601852,1.601852,7.677835,6.322165,194,5,1,125,93,66,93,1,9,9,14,13,59,1,0,4236,0,1,1
u10460,1563655617287,p141,29,1,0.003404,0.297745,336,2,168,336,0,0,-1,0.730484,13.269516,121,4,1,89,49,44,49,1,14,14,39,41,45,1,0,365,0,1,1
u10464,1553930407527,p96,0,0,0,0,1059,5,211.8,1059,0,0,-1,3.742922,10.257078,368,3,2,274,153,123,153,1,1,0,134,136,151,1,0,33284,0,1,1
